#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_02_147 -9.375 -2.485 136.213 -133.988 5.594 -3.969 -8.419 3.657 0.051 -0.594 8.000 -0.553
rdock_02_148 -9.545 -2.199 141.873 -138.804 5.157 -4.037 -6.243 3.606 -0.009 -0.686 8.000 -0.804
rdock_02_149 -9.222 -2.898 147.883 -146.101 6.138 -3.900 -4.079 3.869 0.111 1.191 8.000 -1.246
rdock_02_150 -9.081 -2.306 138.527 -136.265 5.218 -3.866 -6.770 3.679 0.107 -0.076 8.000 -0.783
rdock_03_1 -9.155 -2.323 141.109 -137.611 5.663 -3.998 -5.418 3.705 -0.120 -1.692 8.000 -0.680
rdock_03_2 -9.883 -2.649 140.722 -139.043 5.940 -3.905 -7.023 3.730 0.102 0.549 8.000 -1.664
rdock_03_3 -11.886 -3.454 141.486 -139.648 5.060 -3.761 -6.698 3.872 0.081 0.364 8.000 -3.435
rdock_03_4 -9.013 -2.783 142.858 -139.834 6.976 -3.900 -6.705 3.546 0.096 0.517 8.000 -1.372
rdock_03_5 -9.862 -2.432 139.775 -136.516 4.968 -3.816 -5.665 3.675 0.015 -1.487 8.000 -1.584
rdock_03_6 -9.136 -2.807 142.018 -139.209 5.539 -3.717 -3.806 3.821 -0.059 0.402 8.000 -1.705
rdock_03_7 -8.355 -2.584 141.036 -138.206 5.644 -3.560 -7.184 3.661 0.022 1.032 8.000 -1.322
rdock_03_8 -8.671 -2.069 153.603 -147.910 4.906 -3.785 -3.008 3.157 -0.033 -0.333 8.000 -1.052
rdock_03_9 -8.177 -1.833 137.650 -133.962 4.958 -3.749 -4.043 3.308 0.023 -1.437 8.000 -0.237
rdock_03_10 -7.721 -2.308 149.848 -146.845 6.608 -3.822 -3.406 3.719 -0.018 0.385 8.000 -0.540
rdock_03_11 -9.112 -2.035 137.785 -135.341 4.371 -3.736 -2.753 3.301 -0.038 1.494 8.000 -1.381
rdock_03_12 -8.499 -2.309 135.315 -133.519 4.906 -3.673 -5.437 3.710 0.084 0.303 8.000 -0.686
rdock_03_13 -11.401 -3.571 142.350 -139.839 4.494 -3.589 -6.037 3.915 0.068 0.539 8.000 -3.378
rdock_03_14 -9.694 -2.558 144.788 -141.989 6.656 -4.041 -5.912 3.573 -0.100 -1.286 8.000 -1.077
rdock_03_15 -9.429 -2.636 146.129 -141.802 5.312 -3.535 -5.572 3.892 -0.289 -2.497 8.000 -2.124
rdock_03_16 -9.866 -2.527 146.006 -142.839 5.766 -4.058 -5.398 3.420 -0.050 0.530 8.000 -1.290
rdock_03_17 -11.736 -3.514 142.482 -140.093 4.956 -3.720 -7.553 3.931 0.150 0.468 8.000 -3.529
rdock_03_18 -9.120 -2.544 140.776 -137.857 5.659 -3.956 -6.477 3.876 -0.050 -1.410 8.000 -0.590
rdock_03_19 -8.379 -2.191 135.706 -134.240 6.109 -3.961 -5.109 3.432 0.085 1.520 8.000 -0.339
rdock_03_20 -8.891 -2.065 139.589 -136.725 5.196 -4.033 -7.272 3.576 -0.037 0.018 8.000 -0.262
rdock_03_21 -9.240 -2.175 137.301 -135.783 4.942 -3.874 -5.990 3.487 0.053 0.904 8.000 -0.750
rdock_03_22 -11.718 -3.462 140.222 -138.919 5.885 -4.069 -7.072 3.898 0.031 1.009 8.000 -2.738
rdock_03_23 -9.229 -1.815 137.261 -133.531 4.469 -3.828 -5.203 3.248 -0.128 -1.081 8.000 -0.901
rdock_03_24 -9.624 -2.433 135.888 -134.049 4.880 -3.880 -6.724 3.671 -0.066 -0.073 8.000 -0.915
rdock_03_25 -8.648 -2.804 158.863 -155.225 6.561 -3.862 -6.323 4.187 0.021 1.026 8.000 -1.641
rdock_03_26 -9.527 -2.458 142.146 -140.010 5.811 -3.831 -6.516 3.602 -0.253 -0.200 8.000 -1.257
rdock_03_27 -7.950 -2.110 141.210 -138.047 6.256 -3.746 -5.106 3.578 -0.253 -2.440 8.000 -0.033
rdock_03_28 -9.179 -1.772 148.742 -143.281 4.465 -3.794 -4.480 2.914 0.035 -1.595 8.000 -0.857
rdock_03_29 -8.694 -2.080 138.595 -136.679 5.173 -3.788 -6.050 3.474 -0.145 -0.275 8.000 -0.263
rdock_03_30 -9.345 -2.517 137.352 -136.436 5.009 -3.786 -8.699 3.847 0.073 0.789 8.000 -0.857
rdock_03_31 -9.079 -2.424 144.261 -142.330 5.074 -3.791 -4.909 3.594 -0.004 1.006 8.000 -0.885
rdock_03_32 -7.965 -2.499 160.404 -155.905 6.668 -3.934 -4.334 4.114 0.016 1.006 8.000 -1.309
rdock_03_33 -9.732 -2.494 137.959 -135.915 5.063 -3.900 -8.507 3.709 0.072 -0.030 8.000 -1.013
rdock_03_34 -11.835 -3.390 141.845 -140.852 4.853 -3.725 -7.080 3.857 0.076 1.362 8.000 -3.345
rdock_03_35 -8.711 -2.370 151.100 -147.232 4.766 -3.776 -3.034 3.446 -0.021 0.868 8.000 -0.862
rdock_03_36 -7.005 -2.472 160.260 -154.715 6.008 -3.583 -3.351 3.804 0.037 0.858 8.000 -0.975
